   Time(s)         P1         P2         P3         P4         P5        JSD
    0.0841     0.0000     0.2233     0.0000     0.0709     0.0161     0.0342 
    0.0845     0.0000     0.3587     0.0000     0.1001     0.0213     0.0460 
    0.0848     0.0000     0.4545     0.0000     0.0818     0.0216     0.0419 
    0.0851     0.0000     0.6931     0.0000     0.0512     0.0199     0.0363 
    0.0854     0.6931     0.5663     0.0000     0.0584     0.0279     0.0438 
    0.0858     0.0000     0.6931     0.0000     0.0999     0.0196     0.0483 
    0.0861     0.0000     0.4591     0.0000     0.0398     0.0175     0.0301 
    0.0864     0.0000     0.6931     0.0000     0.0718     0.0267     0.0446 
    0.0867     0.6931     0.5477     0.0000     0.0832     0.0187     0.0415 
    0.0871     0.0000     0.5580     0.0000     0.0769     0.0275     0.0473 
    0.0874     0.6931     0.5368     0.0000     0.0714     0.0205     0.0392 
    0.0877     0.0000     0.5817     0.0000     0.0856     0.0243     0.0472 
    0.0880     0.0000     0.5167     0.0000     0.0553     0.0142     0.0295 
    0.0884     0.0000     0.6931     0.0000     0.0435     0.0172     0.0299 
    0.0887     0.0000     0.5229     0.0000     0.0698     0.0163     0.0342 
    0.0890     0.0000     0.6931     0.0000     0.0667     0.0216     0.0398 
    0.0893     0.0000     0.6931     0.0000     0.0800     0.0103     0.0371 
    0.0897     0.0000     0.6931     0.0000     0.0721     0.0110     0.0342 
    0.0900     0.0000     0.5738     0.0000     0.1016     0.0196     0.0462 
    0.0903     0.0000     0.5229     0.0000     0.0644     0.0216     0.0364 
    0.0906     0.6931     0.5229     0.0000     0.0831     0.0228     0.0436 
    0.0910     0.0000     0.6931     0.0000     0.0892     0.0309     0.0524 
    0.0913     0.0000     0.5682     0.0000     0.0775     0.0135     0.0373 
    0.0916     0.0000     0.6931     0.0000     0.0864     0.0103     0.0375 
    0.0919     0.0000     0.2506     0.0000     0.1011     0.0219     0.0430 
    0.0923     0.0000     0.4666     0.0000     0.0716     0.0241     0.0430 
    0.0926     0.0000     0.4703     0.0000     0.0669     0.0143     0.0351 
    0.0929     0.0000     0.6931     0.0000     0.0602     0.0133     0.0344 
    0.0932     0.0000     0.6931     0.0000     0.0535     0.0177     0.0353 
    0.0936     0.0000     0.4153     0.0000     0.0715     0.0278     0.0441 
    0.0939     0.6931     0.6931     0.0000     0.0522     0.0224     0.0355 
    0.0942     0.0000     0.4545     0.0000     0.0665     0.0168     0.0323 
    0.0945     0.0000     0.6931     0.0000     0.0665     0.0189     0.0361 
    0.0949     0.0000     0.5368     0.0000     0.0621     0.0269     0.0420 
    0.0952     0.0000     0.3341     0.0000     0.0638     0.0205     0.0345 
    0.0955     0.0000     0.4321     0.0000     0.0679     0.0197     0.0373 
    0.0958     0.0000     0.6931     0.0000     0.0804     0.0339     0.0522 
    0.0962     0.0000     0.5483     0.0000     0.0416     0.0138     0.0264 
    0.0965     0.0000     0.6931     0.0000     0.0729     0.0160     0.0355 
    0.0968     0.0000     0.6931     0.0000     0.0485     0.0182     0.0309 
    0.0971     0.0000     0.3749     0.0000     0.0991     0.0188     0.0432 
    0.0975     0.0000     0.4034     0.0000     0.0351     0.0328     0.0385 
    0.0978     0.0000     0.6931     0.0000     0.2507     0.0123     0.0278 
    0.0981     0.0000     0.6931     0.0000     0.3124     0.0103     0.0288 
    0.0984     0.0000     0.6931     0.0000     0.4012     0.0129     0.0353 
    0.0988     0.0000     0.4940     0.0000     0.2925     0.0170     0.0320 
    0.0991     0.0000     0.6931     0.0000     0.2255     0.0164     0.0303 
    0.0994     0.0000     0.4228     0.0000     0.3596     0.0174     0.0354 
    0.0997     0.0000     0.6931     0.0000     0.2261     0.0153     0.0298 
    0.1001     0.0000     0.5682     0.0000     0.1616     0.0139     0.0278 
    0.1004     0.0000     0.6931     0.0000     0.2351     0.0144     0.0287 
    0.1007     0.0000     0.6931     0.0000     0.3557     0.0140     0.0300 
    0.1010     0.0000     0.4034     0.0000     0.2407     0.0119     0.0235 
    0.1014     0.0000     0.6931     0.0000     0.2399     0.0103     0.0238 
    0.1017     0.0000     0.6931     0.0000     0.3087     0.0111     0.0275 
    0.1020     0.0000     0.6931     0.0000     0.3628     0.0141     0.0307 
    0.1023     0.6931     0.6931     0.0000     0.2771     0.0115     0.0254 
    0.1027     0.0000     0.6931     0.0000     0.3359     0.0082     0.0246 
    0.1030     0.6931     0.6931     0.0000     0.3413     0.0071     0.0263 
    0.1033     0.0000     0.6931     0.0000     0.3347     0.0130     0.0286 
    0.1036     0.0000     0.6931     0.0000     0.3998     0.0089     0.0281 
    0.1040     0.0000     0.6931     0.0000     0.4801     0.0086     0.0300 
    0.1043     0.0000     0.6931     0.0000     0.3475     0.0141     0.0312 
    0.1046     0.0000     0.3183     0.0000     0.4052     0.0105     0.0252 
    0.1049     0.0000     0.5368     0.0000     0.2963     0.0084     0.0215 
    0.1053     0.0000     0.6931     0.0000     0.2765     0.0125     0.0267 
    0.1056     0.0000     0.5483     0.0000     0.2406     0.0118     0.0253 
    0.1059     0.0000     0.5483     0.0000     0.3050     0.0145     0.0283 
    0.1062     0.0000     0.3183     0.0000     0.2801     0.0108     0.0222 
    0.1065     0.6931     0.6931     0.0000     0.2603     0.0116     0.0259 
    0.1069     0.0000     0.6931     0.0000     0.2972     0.0112     0.0264 
    0.1072     0.0000     0.6931     0.0000     0.3886     0.0101     0.0298 
    0.1075     0.0000     0.6931     0.0000     0.3316     0.0112     0.0259 
    0.1078     0.0000     0.4545     0.0000     0.4031     0.0154     0.0303 
    0.1082     0.0000     0.4838     0.0000     0.3333     0.0101     0.0222 
    0.1085     0.0000     0.6931     0.0000     0.3410     0.0087     0.0231 
    0.1088     0.0000     0.6931     0.0000     0.3807     0.0141     0.0301 
    0.1091     0.0000     0.4539     0.0000     0.2683     0.0125     0.0230 
    0.1095     0.0000     0.6931     0.0000     0.2356     0.0077     0.0201 
    0.1098     0.0000     0.5229     0.0000     0.3363     0.0108     0.0255 
    0.1101     0.0000     0.5057     0.0000     0.4325     0.0098     0.0243 
    0.1104     0.0000     0.6931     0.0000     0.3746     0.0106     0.0253 
    0.1108     0.0000     0.6931     0.0000     0.3079     0.0084     0.0231 
    0.1111     0.0000     0.5229     0.0000     0.3115     0.0111     0.0226 
    0.1114     0.0000     0.6931     0.0000     0.3839     0.0098     0.0256 
    0.1117     0.0000     0.6931     0.0000     0.2356     0.0095     0.0214 
    0.1121     0.0000     0.6931     0.0000     0.2273     0.0093     0.0206 
    0.1124     0.0000     0.6931     0.0000     0.3727     0.0103     0.0242 
    0.1127     0.0000     0.6931     0.0000     0.3996     0.0117     0.0263 
    0.1130     0.0000     0.3727     0.0000     0.1789     0.0102     0.0176 
    0.1134     0.0000     0.6931     0.0000     0.4420     0.0106     0.0236 
    0.1137     0.0000     0.6931     0.0000     0.3193     0.0098     0.0218 
    0.1140     0.0000     0.4778     0.0000     0.3938     0.0097     0.0242 
    0.1143     0.0000     0.6931     0.0000     0.2634     0.0131     0.0241 
    0.1147     0.0000     0.4539     0.0000     0.3923     0.0069     0.0192 
    0.1150     0.0000     0.6931     0.0000     0.3108     0.0140     0.0257 
    0.1153     0.0000     0.3804     0.0000     0.2596     0.0104     0.0188 
    0.1156     0.0000     0.6931     0.0000     0.3219     0.0063     0.0195 
    0.1160     0.0000     0.3804     0.0000     0.2948     0.0095     0.0215 
    0.1163     0.0000     0.6931     0.0000     0.3095     0.0084     0.0208 
    0.1166     0.0000     0.6931     0.0000     0.4513     0.0100     0.0245 
    0.1169     0.0000     0.4539     0.0000     0.3807     0.0090     0.0192 
    0.1173     0.0000     0.6931     0.0000     0.5392     0.0078     0.0230 
    0.1176     0.0000     0.4838     0.0000     0.4221     0.0103     0.0205 
    0.1179     0.0000     0.6931     0.0000     0.4127     0.0101     0.0216 
    0.1182     0.0000     0.5229     0.0000     0.4603     0.0095     0.0197 
    0.1186     0.0000     0.2568     0.0000     0.4264     0.0082     0.0206 
    0.1189     0.0000     0.3466     0.0000     0.4458     0.0086     0.0205 
    0.1192     0.0000     0.6931     0.0000     0.4488     0.0096     0.0219 
    0.1195     0.0000     0.3804     0.0000     0.5167     0.0119     0.0228 
    0.1199     0.0000     0.4228     0.0000     0.4712     0.0086     0.0223 
    0.1202     0.0000     0.6931     0.0000     0.3386     0.0087     0.0200 
