  Time(ns)                Steps      Q_tot      Q_mod
    43.575              2905000     0.9252     0.9300
    43.650              2910000     0.9558     0.9300
    43.725              2915000     0.9184     0.9300
    43.800              2920000     0.9456     0.9300
    43.875              2925000     0.9456     0.9300
    43.950              2930000     0.9320     0.9300
    44.025              2935000     0.9184     0.9300
    44.100              2940000     0.9524     0.9300
    44.175              2945000     0.9388     0.9300
    44.250              2950000     0.9728     0.9300
    44.325              2955000     0.9422     0.9300
    44.400              2960000     0.9422     0.9300
    44.475              2965000     0.9796     0.9300
    44.550              2970000     0.9490     0.9300
    44.625              2975000     0.9490     0.9300
    44.700              2980000     0.9320     0.9300
    44.775              2985000     0.9252     0.9300
    44.850              2990000     0.9592     0.9300
    44.925              2995000     0.9728     0.9300
    45.000              3000000     0.9422     0.9300
    45.075              3005000     0.9524     0.9300
    45.150              3010000     0.9524     0.9300
    45.225              3015000     0.9592     0.9300
    45.300              3020000     0.9660     0.9300
    45.375              3025000     0.9626     0.9300
    45.450              3030000     0.9694     0.9300
    45.525              3035000     0.9524     0.9300
    45.600              3040000     0.9660     0.9300
    45.675              3045000     0.9286     0.9300
    45.750              3050000     0.9218     0.9300
    45.825              3055000     0.9354     0.9300
    45.900              3060000     0.9728     0.9300
    45.975              3065000     0.9422     0.9300
    46.050              3070000     0.9490     0.9300
    46.125              3075000     0.9354     0.9300
    46.200              3080000     0.9626     0.9300
    46.275              3085000     0.9626     0.9300
    46.350              3090000     0.9218     0.9300
    46.425              3095000     0.9592     0.9300
    46.500              3100000     0.9796     0.9300
    46.575              3105000     0.9524     0.9300
    46.650              3110000     0.9592     0.9300
    46.725              3115000     0.9388     0.9300
    46.800              3120000     0.9320     0.9300
    46.875              3125000     0.9558     0.9300
    46.950              3130000     0.9524     0.9300
    47.025              3135000     0.9694     0.9300
    47.100              3140000     0.9456     0.9300
    47.175              3145000     0.9354     0.9300
    47.250              3150000     0.9524     0.9300
    47.325              3155000     0.9558     0.9300
    47.400              3160000     0.9728     0.9300
    47.475              3165000     0.9694     0.9300
    47.550              3170000     0.9728     0.9300
    47.625              3175000     0.9796     0.9300
    47.700              3180000     0.9728     0.9300
Done.
