       D_1        D_2        D_3        1|2        2|3      total
    1.0000     0.2429     1.0000     0.0000     1.0000     0.5179
    1.0000     0.2429     0.9737     0.0000     1.0000     0.5089
    0.5000     0.3857     1.0000     0.0000     1.0000     0.5982
    0.5000     0.3571     1.0000     0.0000     1.0000     0.5804
    0.0000     0.3857     0.8421     0.0000     1.0000     0.5357
    0.5000     0.3714     1.0000     0.0000     1.0000     0.5893
    0.5000     0.6143     1.0000     0.0000     1.0000     0.7411
    1.0000     0.6571     1.0000     0.0000     1.0000     0.7768
    0.5000     0.6429     0.9737     0.0000     1.0000     0.7500
    0.5000     0.6143     1.0000     0.0000     1.0000     0.7411
    0.5000     0.7143     0.9737     0.0000     1.0000     0.7946
    1.0000     0.7429     0.9737     0.0000     1.0000     0.8214
    1.0000     0.6286     0.9737     0.0000     1.0000     0.7500
    0.5000     0.7857     1.0000     0.0000     1.0000     0.8482
    0.5000     0.6857     0.9737     0.0000     1.0000     0.7768
    0.5000     0.6286     0.9737     0.0000     1.0000     0.7411
    0.5000     0.5857     0.9737     0.0000     1.0000     0.7143
    0.0000     0.6000     1.0000     0.0000     1.0000     0.7232
    0.0000     0.4714     0.8947     0.0000     1.0000     0.6071
    0.0000     0.5143     1.0000     0.0000     1.0000     0.6696
    0.0000     0.6714     0.9737     0.0000     1.0000     0.7589
    0.0000     0.6429     1.0000     0.0000     1.0000     0.7500
    1.0000     0.6429     1.0000     0.0000     1.0000     0.7679
    1.0000     0.6714     0.8947     0.0000     1.0000     0.7500
    0.5000     0.7000     0.9737     0.0000     1.0000     0.7857
    0.5000     0.7571     0.9474     0.0000     1.0000     0.8125
    1.0000     0.6714     1.0000     0.0000     1.0000     0.7857
    0.5000     0.6857     1.0000     0.0000     1.0000     0.7857
    0.5000     0.7429     0.9737     0.0000     1.0000     0.8125
    1.0000     0.5571     0.9737     0.0000     1.0000     0.7054
    0.5000     0.7714     0.9211     0.0000     1.0000     0.8125
    1.0000     0.7571     0.9211     0.0000     1.0000     0.8125
    0.5000     0.7714     0.9474     0.0000     1.0000     0.8214
    0.5000     0.8429     0.9211     0.0000     1.0000     0.8571
    0.5000     0.8000     1.0000     0.0000     1.0000     0.8571
    0.5000     0.8000     0.9737     0.0000     1.0000     0.8482
    0.5000     0.7000     0.9737     0.0000     0.0000     0.7768
    0.0000     0.7571     0.9737     0.0000     1.0000     0.8125
    1.0000     0.7714     0.9737     0.0000     1.0000     0.8393
    0.0000     0.7429     1.0000     0.0000     1.0000     0.8125
    0.0000     0.7429     0.9737     0.0000     1.0000     0.8036
    0.5000     0.8143     0.9737     0.0000     1.0000     0.8571
    0.0000     0.8000     0.9737     0.0000     1.0000     0.8393
    0.5000     0.9429     0.9737     0.0000     1.0000     0.9375
    0.5000     0.9571     1.0000     1.0000     1.0000     0.9643
    0.5000     0.9143     0.9737     0.0000     1.0000     0.9196
    1.0000     0.9429     1.0000     1.0000     1.0000     0.9643
    1.0000     0.9571     1.0000     0.0000     1.0000     0.9643
    1.0000     0.8857     1.0000     1.0000     1.0000     0.9286
    0.5000     0.9429     0.9211     0.0000     1.0000     0.9196
    0.5000     0.9571     0.9211     0.0000     1.0000     0.9286
    0.5000     0.9429     0.9737     1.0000     1.0000     0.9464
    0.5000     0.9143     0.9474     0.0000     1.0000     0.9107
    1.0000     0.9000     0.9737     1.0000     1.0000     0.9286
    1.0000     0.9286     0.9737     1.0000     1.0000     0.9464
    0.5000     0.9143     1.0000     1.0000     1.0000     0.9375
    0.5000     0.8429     0.9737     1.0000     1.0000     0.8839
    0.5000     0.9429     1.0000     0.0000     1.0000     0.9464
    0.5000     0.8857     1.0000     0.0000     1.0000     0.9107
    0.5000     0.9429     0.9474     0.0000     1.0000     0.9286
    0.5000     0.9857     0.9474     1.0000     1.0000     0.9643
    1.0000     0.8429     1.0000     0.0000     1.0000     0.8929
    1.0000     0.8714     1.0000     0.0000     1.0000     0.9107
    0.5000     0.9143     0.9211     0.0000     1.0000     0.9018
    0.5000     0.8714     1.0000     0.0000     1.0000     0.9018
    1.0000     0.9143     1.0000     1.0000     1.0000     0.9464
    0.5000     0.9143     0.9737     0.0000     1.0000     0.9196
    0.0000     0.8857     0.9737     0.0000     1.0000     0.8929
    0.5000     0.9000     1.0000     1.0000     1.0000     0.9286
    0.5000     0.9286     1.0000     1.0000     1.0000     0.9464
    1.0000     0.8857     1.0000     1.0000     1.0000     0.9286
    1.0000     0.8143     1.0000     1.0000     1.0000     0.8839
    1.0000     0.9429     1.0000     1.0000     1.0000     0.9643
    0.5000     0.9714     0.9737     0.0000     1.0000     0.9554
    1.0000     0.9429     0.9737     1.0000     1.0000     0.9554
    0.0000     0.9571     1.0000     1.0000     1.0000     0.9554
    0.5000     0.9286     1.0000     1.0000     1.0000     0.9464
    0.5000     0.9857     1.0000     1.0000     1.0000     0.9821
    0.5000     0.9429     1.0000     1.0000     1.0000     0.9554
    0.0000     0.9571     0.9737     0.0000     1.0000     0.9375
    1.0000     0.9000     0.9211     1.0000     1.0000     0.9107
    0.5000     0.9286     0.9474     1.0000     1.0000     0.9286
    0.5000     0.9143     1.0000     1.0000     1.0000     0.9375
    0.5000     0.9000     0.9737     1.0000     1.0000     0.9196
    1.0000     0.9286     1.0000     1.0000     1.0000     0.9554
    0.5000     0.9857     0.9737     1.0000     1.0000     0.9732
    0.5000     0.9429     0.9211     1.0000     1.0000     0.9286
    0.5000     0.9286     1.0000     1.0000     1.0000     0.9464
    0.5000     0.9286     1.0000     1.0000     1.0000     0.9464
    1.0000     0.9429     1.0000     1.0000     1.0000     0.9643
    0.0000     0.8857     1.0000     1.0000     1.0000     0.9107
